COU_ID;COU_NAME
295;Atlantic Ocean                   
296;Atlantic Ocean                   
297;Atlantic Ocean                   
298;Atlantic Ocean                   
299;Atlantic Ocean                   
300;Atlantic Ocean                   
301;Atlantic Ocean                   
302;Atlantic Ocean                   
303;Atlantic Ocean                   
304;Atlantic Ocean                   
305;Atlantic Ocean                   
306;Atlantic Ocean                   
307;Atlantic Ocean                   
308;Atlantic Ocean                   
309;Atlantic Ocean                   
310;Atlantic Ocean                   
311;Atlantic Ocean                   
312;Atlantic Ocean                   
313;Atlantic Ocean                   
314;Atlantic Ocean                   
315;Atlantic Ocean                   
316;Atlantic Ocean                   
317;Atlantic Ocean                   
318;Atlantic Ocean                   
319;Atlantic Ocean                   
320;Atlantic Ocean                   
321;Atlantic Ocean                   
322;Atlantic Ocean                   
323;Atlantic Ocean                   
324;Atlantic Ocean                   
325;Atlantic Ocean                   
326;Atlantic Ocean                   
327;Atlantic Ocean                   
328;Atlantic Ocean                   
329;Atlantic Ocean                   
330;Atlantic Ocean                   
331;Atlantic Ocean                   
332;Atlantic Ocean                   
333;Atlantic Ocean                   
334;Atlantic Ocean                   
335;Atlantic Ocean                   
336;Atlantic Ocean                   
337;Atlantic Ocean                   
338;Atlantic Ocean                   
339;Atlantic Ocean                   
340;Atlantic Ocean                   
341;Australia                        
342;Australila                       
343;Austria                          
344;Ayrshire                         
345;Azerbaijan                       
346;Azerbaijan 	 Bakou               
347;Azores                           
348;Azores (Portugal)                
349;Azuay                            
350;Baangladesh                      
351;Bahamas                          
352;Bahrain                          
353;Bali                             
354;Bangladesh                       
355;Barbados                         
356;Bavaria                          
357;BC                               
358;Belarus                          
359;Belgian Congo                    
360;Belgian Congo (Zaire)            
361;Belgium                          
362;Belgium Congo                    
363;Beni                             
364;Benin                            
365;Bermuda                          
366;Besar,Thailand                   
367;Bhutan                           
368;Biafra                           
369;Bias Bay                         
370;Black Sea                        
371;Boliva                           
372;Bolivia                          
373;Bolivia                          
374;Bolivia                          
375;Bosnia-Herzegovina               
376;Boston                           
377;Botswana                         
378;Bouvet I.                        
379;Brazil                           
380;Brazil Florianopolis             
381;Brisbane                         
382;British Colombia                 
383;British Columbia                 
384;British Columbia Canada          
385;British Virgin Islands           
386;Brunei                           
387;Buckinghamshire                  
388;Buea                             
389;Bugaria                          
390;Bulgaria                         
391;Bulgeria                         
392;Burma                            
393;Burma (Myanmar)                  
394;CA                               
395;Cailifornia                      
396;Calabria                         
397;California                       
398;Calilfornia                      
399;Cambodia                         
400;Cameroon                         
401;Cameroon                         
402;Cameroon                         
403;Cameroon                         
404;Cameroon                         
405;Cameroon                         
406;Cameroon                         
407;Cameroon                         
408;Cameroon                         
409;Cameroon                         
410;Cameroon                         
411;Cameroon                         
412;Cameroon                         
413;Cameroon                         
414;Cameroon                         
415;Cameroon                         
416;Cameroon                         
417;Cameroon                         
418;Cameroon                         
419;Cameroon                         
420;Cameroons                        
421;Canada                           
422;Canada                           
423;Canada                           
424;Canada                           
425;Canada                           
426;Canada                           
427;Canary Islands                   
428;Cape Verde                       
429;Cape Verde                       
430;Cape Verde                       
431;Cape Verde                       
432;Cape Verde                       
433;Cape Verde                       
434;Cape Verde                       
435;Cape Verde                       
436;Cape Verde                       
437;Cape Verde                       
438;Cape Verde                       
439;Cape Verde                       
440;Cape Verde Islands               
441;Cardiff                          
442;Catalina Island                  
443;Cayman Islands                   
444;Central African Republic         
445;Chad                             
446;Channel Islands                  
447;Chechnya                         
448;Cheshire                         
449;Chicago                          
450;Chile                            
451;Chile                            
452;Chile                            
453;Chile                            
454;Chile                            
455;Chile                            
456;Chile                            
