PLA_TYPE;Date;Country;PLA_ID
Antonov AN-12                           ;01/13/1987;Ethiopia;114
Antonov An-12                           ;07/14/1992;Yemen;115
Antonov AN-12                           ;08/05/1994;Russia;116
Antonov An-12                           ;05/26/2008;Russia;117
Antonov AN-12 (freighter)               ;03/24/2000;Sri Lanka;118
Antonov AN-124                          ;11/15/1993;Iran;119
Antonov An-124                          ;10/08/1996;Italy;120
Antonov AN-124-100                      ;12/05/1997;Russia;121
Antonov AN-12A                          ;10/29/1994;Russia;122
Antonov An-12AP                         ;03/25/1986;Soviet Union;123
Antonov AN-12B                          ;01/22/1971;USSR;124
Antonov An-12B                          ;10/19/1987;Russia;125
Antonov AN-12B                          ;03/12/1997;Angola;126
Antonov An-12B                          ;09/30/2017;Congo;127
Antonov An-12BK                         ;08/26/2009;Congo;128
Antonov AN-12BP                         ;02/07/1968;Northern India;129
Antonov An-12BP                         ;05/13/1977;Lebanon;130
Antonov AN-12BP                         ;08/04/1984;Pakistan;131
Antonov An-12BP                         ;08/11/1998;Angola;132
Antonov AN-12BP                         ;12/14/1998;Angola;133
Antonov An-12BP                         ;04/21/2010;Philippines;134
Antonov An-12PL                         ;12/06/1969;Russia;135
Antonov An-12TB                         ;11/13/1969;Russia;136
Antonov AN-12V                          ;10/02/1973;Russia;137
Antonov An-14                           ;09/17/1971;Bulgaria;138
Antonov AN-140                          ;12/23/2002;Iran;139
Antonov AN-140-100                      ;12/23/2005;Azerbaijan;140
Antonov AN-148-100                      ;02/11/2018;Russia;141
Antonov AN-2                            ;01/14/1966;Uzbekistan;142
Antonov An-2                            ;03/18/1975;Russia;143
Antonov AN-2                            ;10/29/1994;Russia;144
Antonov An-2                            ;10/19/2006;Russia;145
Antonov AN-2                            ;07/05/2010;Romania;146
Antonov An-2 / Antonov An-12            ;12/04/1974;Russia;147
Antonov An-2 / Mil Mi-8T                ;11/01/1974;Russia;148
Antonov AN-22                           ;07/18/1970;;149
Antonov AN-22A                          ;11/11/1992;Russia;150
Antonov AN-24                           ;03/20/1965;Russia;151
Antonov An-24                           ;03/08/1974;Vietnam;152
Antonov AN-24                           ;11/17/1975;Georgia;153
Antonov An-24                           ;04/19/1977;Estonia;154
Antonov AN-24                           ;07/08/1977;Ukraine;155
Antonov AN-24 / Yakovlev Yak-40         ;09/09/1976;Russia;156
Antonov An-24 V                         ;08/03/2010;Russia;157
Antonov AN-24B                          ;03/18/1966;Egypt;158
Antonov An-24B                          ;01/06/1968;Russia;159
Antonov AN-24B                          ;11/22/1975;Bulgaria;160
Antonov An-24B                          ;04/14/1980;Russia;161
Antonov AN-24B                          ;03/26/1981;Poland;162
Antonov AN-24N                          ;01/15/1979;Russia;163
Antonov AN-24RV                         ;12/29/1974;Romania;164
Antonov An-24RV                         ;01/25/1982;Romania;165
Antonov AN-24RV                         ;12/15/1986;China;166
Antonov An-24RV                         ;12/28/1989;Romania;167
Antonov AN-24RV                         ;04/07/1992;Libya;168
Antonov An-24RV                         ;07/11/2011;Russia;169
Antonov AN-24RV                         ;02/13/2013;Ukraine;170
Antonov AN-24RV / Soviet Air Force TU-16;08/24/1981;Russia;171
Antonov AN-24V                          ;08/18/1968;Egypt;172
Antonov An-26                           ;05/16/1972;Russia;173
Antonov AN-26                           ;07/14/1977;Angola;174
Antonov An-26                           ;05/06/1983;Russia;175
Antonov AN-26                           ;09/04/1985;Afghanistan;176
Antonov An-26                           ;03/06/1987;Kazakhstan;177
Antonov AN-26                           ;03/30/1987;Pakistan;178
Antonov An-26                           ;03/30/2000;Sri Lanka;179
Antonov AN-26                           ;10/31/2000;Angola;180
Antonov An-26                           ;05/26/2009;Democratic Republic Congo;181
Antonov An-26-100                       ;08/19/2012;Sudan;182
Antonov AN-26-100                       ;10/14/2017;Ivory Coast;183
Antonov AN-26A                          ;09/09/2005;Congo;184
Antonov AN-26B                          ;04/23/1993;Mongolia;185
Antonov AN-26V                          ;01/26/1990;Mongolia;186
Antonov AN-26                           ;03/09/2016;Bangladesh;187
Antonov AN-28                           ;10/19/1992;Russia;188
Antonov An-28                           ;04/03/2008;Suriname;189
Antonov AN-28                           ;01/30/2012;Congo;190
Antonov An-28                           ;09/12/2012;Russia;191
Antonov AN-28 PZL-Mielec M-28 Sky Truck ;07/12/2001;Venezuela;192
Antonov An-2R                           ;08/02/1995;South Africa;193
Antonov An-2T                           ;09/16/1984;Poland;194
Antonov An-2TP                          ;10/27/1979;Russia;195
Antonov AN-2TP                          ;10/11/2003;Venezuela;196
Antonov AN-32                           ;12/10/1988;;197
Antonov An-32                           ;09/28/1989;;198
Antonov AN-32                           ;04/27/1993;Afghanistan;199
Antonov An-32                           ;04/11/2008;Moldova;200
Antonov AN-32 Transport                 ;03/07/1999;India;201
Antonov AN-32A                          ;04/19/2002;Colombia;202
Antonov AN-32B                          ;10/08/1994;Colombia;203
Antonov An-32B                          ;12/21/1996;Colombia;204
Antonov AN-32B                          ;04/24/2006;Afghanistan;205
Antonov An-32B                          ;04/16/2008;Equatorial Guinea;206
Antonov AN-72                           ;09/16/1991;USSR;207
Antonov An-72                           ;12/27/1997;off Angola;208
Antonov AN-72-100D                      ;12/25/2012;Kazakhstan;209
Antonov AN-8                            ;10/29/1992;Russia;210
Antonov AN-9                            ;12/06/1936;Russia;211
Antonv An-24B                           ;05/17/2010;Afghanistan;212
Antonv An-28                            ;05/15/2010;Suriname;213
Arado V1                                ;12/19/1929;Germany;214
Arava 201                               ;08/14/1982;Nicaragua;215
Armstrong Whitworth Argosy II           ;03/28/1933;Belgium;216
Armstrong-Whitworth F-K-8               ;08/16/1920;England;217
Armstrong-Withworth Atlanta             ;07/27/1938;Kenya;218
AT L98 Carvair                          ;03/08/1967;Pakistan;219
ATR 42-300                              ;09/14/2002;Sao Paulo;220
ATR 42-320                              ;09/13/2010;Venezuela;221
ATR 72-201                              ;04/02/2012;Russia;222
ATR 72-212                              ;02/18/2018;Iran;223
ATR 72-500                              ;07/23/2014;Taiwan;224
ATR 72-600                              ;02/04/2015;Taiwan;225
ATR-42-300                              ;02/21/2008;Venezuela;226
ATR-42-320                              ;01/01/2009;Texas;227
ATR-42-500                              ;12/07/2016;Pakistan;228
ATR-72-202                              ;08/06/2005;Italy;229
ATR-72-212                              ;10/31/1994;Indiana;230
ATR-72-212A                             ;08/04/2009;Thailand;231
ATR-72-50                               ;10/16/2013;Laos;232
ATR42-320                               ;12/13/2017;Saskatchewan;233
Avia 14                                 ;01/02/1961;Czechoslovakia;234
Avia 14-40                              ;10/11/1968;Czechoslovakia;235
Avia 14M-40                             ;10/08/1992;China;236
Avia 14T                                ;02/11/1977;Slovakia;237
Aviation Traders ATL-98 Carvair         ;04/04/1997;Georgia;238
Avro  685 York I                        ;12/23/1946;Brazil;239
Avro 10                                 ;03/21/1931;Australia;240
Avro 504                                ;04/06/1921;Australia;241
Avro 683 Lancaster                      ;12/03/1944;;242
Avro 685 York                           ;07/16/1947;Iran;243
Avro 685 York 1                         ;10/06/1946;Malaya;244
Avro 685 York C-1                       ;05/26/1955;Alberta;245
Avro 685 York C1                        ;03/15/1963;Iran;246
Avro 685 York I                         ;09/07/1946;Gambia;247
Avro 688                                ;01/27/1959;Italy;248
Avro 688 Super Trader                   ;04/23/1959;Turkey;249
Avro 688 Tudor 4B                       ;01/17/1949;off Bermuda;250
Avro 688 Tudor I                        ;01/30/1948;NE of Bermuda;251
Avro 689 Tudor 5                        ;03/12/1950;Cardiff;252
Avro 691 Lancastrian                    ;06/11/1947;Brazil;253
Avro 691 Lancastrian (flying boat)      ;08/01/1948;Pakistan;254
Avro 691 Lancastrian 1                  ;03/23/1946;Cocos Islands;255
Avro 691 Lancastrian 3                  ;08/02/1947;Argentina;256
Avro 691 Lancastrian IV                 ;12/11/1960;Argentina;257
Avro Anson                              ;08/24/1946;Egypt;258
Avro Lancaster                          ;05/09/1945;France;259
Avro Lancaster 1                        ;08/17/1960;Morocco;260
Avro Ninteen I                          ;09/23/1950;Sweden;261
Avro RJ-85                              ;11/28/2016;Colombia;262
Avro Shackleton AEW-2                   ;04/30/1990;England;263
Avro Shackleton M-2 / Avro Shakleton M-2;01/11/1955;Ireland;264
Avro Shackleton MR-1                    ;06/25/1952;North Sea;265
Avro Shackleton MR-2                    ;11/11/1953;Scotland;266
Avro York C1                            ;03/18/1947;Sri Lanka;267
Aérospatiale SE-210 Caravelle           ;04/26/1989;Colombia;268
Aérospatiale/Aeritalia ATR-72-202       ;12/21/2002;Taiwan;269
B-17C Flying Fortress                   ;06/14/1943;OLD;270
B17G Flying Fortress                    ;04/23/1945;Isle of Man;271
BAC One Eleven 204AF                    ;06/23/1967;Pennsylvania;272
BAC One-Eleven  424EU                   ;12/07/1970;Romania;273
BAC One-Eleven 200AB                    ;10/22/1963;England;274
BAC One-Eleven 203AE                    ;08/06/1966;Nebraska;275
BAC One-Eleven 402AP                    ;09/12/1969;Philippines;276
BAC One-Eleven 420EL                    ;11/21/1977;Argentina;277
BAC One-Eleven 515FB                    ;09/06/1971;Germany;278
BAC One-Eleven 516FP                    ;07/21/1989;Philippines;279
BAC One-Eleven 524FF                    ;06/03/1975;Philippines;280
BAC One-Eleven 525FT                    ;05/04/2002;Nigeria;281
BAC One-Eleven 527FK                    ;05/23/1976;Philipines;282
BAC One-Eleven 528FL                    ;06/10/1990;England;283
BAC One-Eleven 529FR                    ;05/07/1981;Argentina;284
BAC Super VC-10 1154                    ;04/18/1972;Ethiopia;285
BAC VC-10-1101                          ;11/20/1969;Nigeria;286
BAe 146-200                             ;10/10/2006;Norway;287
BAe 3101 Jetstream 31                   ;11/18/2004;Venezuela;288
BAe Avro RJ-100                         ;01/08/2003;Turkey;289
BAE Avro RJ100                          ;11/24/2001;Switzerland;290
BAe HS-748-232 Srs 2A                   ;06/08/2004;Gabon;291
BAe Jetstream 3101-31                   ;05/21/2000;Pennsylvania;292
Bae Jetstream 3201                      ;10/19/2004;Missouri;293
Bandeirante EMB-110P1                   ;02/07/2009;Brazil;294
Beech 200 Super King Air                ;10/24/2004;Virginia;295
Beech 65-A80 Queenaire                  ;05/16/2005;Argentina;296
Beech A36                               ;03/28/2003;Iowa;297
Beech BE-1900D                          ;01/08/2003;North Carolina;298
Beech BE-70                             ;03/01/1979;Mississippi;299
Beech C-45H                             ;12/05/1981;Hawaii;300
Beech D18S                              ;02/03/1964;Florida;301
Beech E18S                              ;10/21/1971;Illinois;302
Beech G18S                              ;11/17/1972;Kentucky;303
Beech King Air 200 Catpass              ;01/27/2001;Colorado;304
Beech King Air B100                     ;09/15/1989;Kentucky;305
Beech King Air B90                      ;07/31/1990;Peru;306
Beech King Air F90                      ;10/02/1988;Brazil;307
