PLA_TYPE;Date;Country;PLA_ID
Boeing B-707-340C                       ;11/26/1979;Jeddah;496
Boeing B-707-344C                       ;04/20/1968;South-West  Africa (Namibia);497
Boeing B-707-345C                       ;07/11/1973;Orly Airport;498
Boeing B-707-349C                       ;03/21/1989;Brazil;499
Boeing B-707-366C                       ;12/25/1976;Thailand;500
Boeing B-707-379C                       ;01/03/1987;Ivory Coast;501
Boeing B-707-3B5C                       ;11/29/1987;;502
Boeing B-707-3D3C                       ;01/22/1973;Nigeria;503
Boeing B-707-3J9C                       ;04/20/2005;Iran;504
Boeing B-707-436                        ;03/05/1966;Mt. Fuji;505
Boeing B-707-437                        ;01/24/1966;French Alps;506
Boeing B-707-441                        ;11/27/1962;Peru;507
Boeing B-707-465                        ;04/08/1968;London;508
Boeing B-720-040B                       ;05/20/1965;Egypt;509
Boeing B-720-047B                       ;03/31/1971;California;510
Boeing B-720-051B                       ;02/12/1963;Florida;511
Boeing B-720B-023B                      ;01/01/1976;Saudi Arabia;512
Boeing B-727                            ;11/15/1979;Illinois;513
Boeing B-727-100                        ;07/08/2011;Congo;514
Boeing B-727-113C                       ;01/05/1969;Horley;515
Boeing B-727-121C                       ;09/15/1974;South Vietnam;516
Boeing B-727-134                        ;01/28/2002;Colombia;517
Boeing B-727-193                        ;09/04/1971;Alaska;518
Boeing B-727-200                        ;06/02/2012;Ghana;519
Boeing B-727-200 / DC9-32               ;12/07/1983;Spain;520
Boeing B-727-21                         ;03/17/1988;N of  Santander;521
Boeing B-727-212A                       ;06/08/1982;Brazil;522
Boeing B-727-214 / Cessna 172           ;09/25/1978;California;523
Boeing B-727-22                         ;08/16/1965;near Chicago;524
Boeing B-727-22 / Cessna 310            ;07/19/1967;North Carolina;525
Boeing B-727-223                        ;12/25/2003;Benin;526
Boeing B-727-224                        ;02/21/1973;Egypt;527
Boeing B-727-225                        ;06/24/1975;New York;528
Boeing B-727-225 Adv                    ;01/01/1985;Bolivia;529
Boeing B-727-227                        ;04/16/1985;New Mexico;530
Boeing B-727-228                        ;03/19/1998;Afghanistan;531
Boeing B-727-22QC                       ;01/18/1969;California;532
Boeing B-727-23                         ;11/08/1965;near Covington;533
Boeing B-727-230                        ;04/20/1998;Colombia;534
Boeing B-727-231                        ;12/01/1974;Virginia;535
Boeing B-727-232 Adv                    ;08/31/1988;Texas;536
Boeing B-727-235                        ;05/08/1978;Florida;537
Boeing B-727-247                        ;09/11/1990;Canada;538
Boeing B-727-251                        ;12/01/1974; Thiells;539
Boeing B-727-251 / MD Douglas DC-9-14   ;12/03/1990;Michigan;540
Boeing B-727-256                        ;02/19/1985;Vizcaya;541
Boeing B-727-264                        ;03/31/1986;Mexico;542
Boeing B-727-27C                        ;04/12/1980;Brazil;543
Boeing B-727-281 / Air Force F86F       ;07/30/1971;Japan;544
Boeing B-727-282                        ;11/19/1977;Island of Madeira;545
Boeing B-727-286                        ;01/09/2011;Iran;546
Boeing B-727-2A7                        ;12/28/1970;Virgin Islands;547
Boeing B-727-2D3                        ;03/14/1979;Qatar;548
Boeing B-727-2F2                        ;09/19/1976;Turkey;549
Boeing B-727-2H9A                       ;02/27/1988;Cyprus;550
Boeing B-727-2L5 / MiG23UB              ;12/22/1992;Libya;551
Boeing B-727-30                         ;10/10/1998;Congo;552
Boeing B-727-46                         ;05/19/1993;Colombia;553
Boeing B-727-64                         ;06/04/1969;Nuevo Leon;554
Boeing B-727-81                         ;02/04/1966;Japan;555
Boeing B-727-86                         ;01/21/1980;near Tehran;556
Boeing B-727-92C                        ;02/16/1968;Taiwan;557
Boeing B-727-95                         ;04/27/1976;Virgin Islands;558
Boeing B-737-200                        ;05/25/1982;Brazil;559
Boeing B-737-204                        ;06/06/1992;Panama;560
Boeing B-737-204C                       ;08/31/1999;Argentina;561
Boeing B-737-209                        ;10/26/1989;China;562
Boeing B-737-210C(A) Combi              ;08/20/2011;Nunavut;563
Boeing B-737-219                        ;08/24/2008;Kyrgyzstan;564
Boeing B-737-222                        ;12/08/1972;Chicago;565
Boeing B-737-230                        ;09/15/1988;Ethiopia;566
Boeing B-737-230A                       ;01/02/1988;Turkey;567
Boeing B-737-236                        ;08/22/1985;England;568
Boeing B-737-241                        ;09/03/1989;Brazil;569
Boeing B-737-244                        ;08/23/2005;Peru;570
Boeing B-737-247 / Boeing B-757-21B     ;10/02/1990;China;571
Boeing B-737-266                        ;11/24/1985;Malta;572
Boeing B-737-270C                       ;12/25/1986;Saudi Arabia;573
Boeing B-737-275                        ;02/11/1978;British Columbia;574
Boeing B-737-281                        ;02/16/1986;Taiwan;575
Boeing B-737-282                        ;05/05/1998;Peru;576
Boeing B-737-291                        ;03/03/1991;Colorado;577
Boeing B-737-297                        ;04/28/1988;Hawaii;578
Boeing B-737-2A1                        ;01/28/1986;Brazil;579
Boeing B-737-2A8                        ;05/31/1973;India;580
Boeing B-737-2A8 Advanced               ;07/17/2000;India;581
Boeing B-737-2C3                        ;02/14/1997;Brazil;582
Boeing B-737-2F9                        ;11/13/1995;Nigeria;583
Boeing B-737-2H4                        ;04/19/2000;Philippines;584
Boeing B-737-2H6                        ;12/04/1977;near Kampung Ladang;585
Boeing B-737-2H7C                       ;08/30/1984;Cameroon;586
Boeing B-737-2K9                        ;12/03/1995;Cameroon;587
Boeing B-737-2L9                        ;10/22/2005;Nigeria;588
Boeing B-737-2P5                        ;08/31/1987;Thailand;589
Boeing B-737-2P6                        ;09/23/1983;UAE;590
Boeing B-737-2T4                        ;03/06/2003;Algeria;591
Boeing B-737-2V2                        ;07/11/1983;Azuay;592
Boeing B-737-300                        ;12/19/1997;Indonesia;593
Boeing B-737-300 / Swearingen SA-227AC  ;02/01/1991;Los Angeles;594
Boeing B-737-31B                        ;05/08/1997;China;595
Boeing B-737-3B7                        ;09/08/1994;Pennsylvania;596
Boeing B-737-3Q8                        ;01/16/2002;Indonesia;597
Boeing B-737-3T0                        ;05/24/1988;Louisiana;598
Boeing B-737-3T5                        ;03/05/2000;Calilfornia;599
Boeing B-737-3Y0                        ;05/11/1990;Philippines;600
Boeing B-737-401                        ;09/20/1989;New York;601
Boeing B-737-497                        ;03/07/2007;Indonesia;602
Boeing B-737-4D7                        ;03/03/2001;Thailand;603
Boeing B-737-4Q8                        ;01/01/2007;Indonesia;604
Boeing B-737-4Y0                        ;01/08/1989;England;605
Boeing B-737-505                        ;09/14/2008;Russia;606
Boeing B-737-566                        ;05/07/2002;Tunisia;607
Boeing B-737-5L9                        ;07/26/1993;South Korea;608
Boeing B-737-73V                        ;08/16/2010;Colombia;609
Boeing B-737-7H4                        ;12/08/2005;Illinois;610
Boeing B-737-8AL                        ;05/05/2007;Cameroon;611
Boeing B-737-8EH /EMB-135JB             ;09/29/2006;Brazil;612
Boeing B-737-8GP                        ;04/13/2013;Indonesia;613
Boeing B-737-T43                        ;04/03/1996;Croatia;614
Boeing B-747                            ;02/02/1974;HI;615
Boeing B-747-121                        ;07/30/1971;California;616
Boeing B-747-121 / Boeing B-747-206B    ;03/27/1977;Canary Islands;617
Boeing B-747-121A                       ;12/21/1988;Scotland;618
Boeing B-747-122                        ;02/24/1989;Hawaii;619
Boeing B-747-130                        ;11/20/1974;Kenya;620
Boeing B-747-131                        ;07/17/1996;New York;621
Boeing B-747-131F                       ;05/09/1976;Spain;622
Boeing B-747-168B / Ilyushin IL-76TD    ;11/12/1996;India;623
Boeing B-747-200                        ;04/05/1988;Cyprus;624
Boeing B-747-209B                       ;05/25/2002;Taiwan;625
Boeing B-747-209BSF                     ;07/07/2008;Colombia;626
Boeing B-747-230B                       ;09/01/1983;Russia;627
Boeing B-747-237B                       ;01/01/1978;Maharashtra;628
Boeing B-747-244B Combi                 ;11/28/1987;Indian Ocean;629
Boeing B-747-258F                       ;10/04/1992;Netherlands;630
Boeing B-747-283B                       ;11/27/1983;Spain;631
Boeing B-747-2B5B                       ;11/19/1980;South Korea;632
Boeing B-747-2R7F                       ;12/29/1991;Taiwan;633
Boeing B-747-300                        ;08/06/1997;Guam;634
Boeing B-747-412                        ;10/31/2000;Taiwan;635
Boeing B-747-428BCF                     ;04/29/2013;Afghanistan;636
Boeing B-747-466                        ;03/31/1993;Alaska;637
Boeing B-747-48EF                       ;07/28/2011;South Korean;638
Boeing B-747-SP-09                      ;02/19/1985;California;639
Boeing B-747-SR46                       ;08/12/1985;near Ueno Village;640
Boeing B-757-200                        ;10/02/1996;Peru;641
Boeing B-757-222                        ;09/11/2001;Pennsylvania;642
Boeing B-757-223                        ;12/20/1995;Valle del Cauca;643
Boeing B-757-225                        ;02/06/1996;Domincan Republic;644
Boeing B-767-200ER                      ;04/15/2002;South Korea;645
Boeing B-767-222                        ;09/11/2001;New York;646
Boeing B-767-233ER                      ;07/23/1983;Manitoba;647
Boeing B-767-260ER                      ;11/23/1996;Comoros;648
Boeing B-767-366ER                      ;10/31/1999;Massachusetts;649
Boeing B-767-3Z9ER                      ;05/26/1991;Thailand;650
Boeing B-777-28EER                      ;07/06/2013;California;651
Boeing B17G                             ;07/09/1946;Massachusetts;652
Boeing B307-1 Stratoliner               ;12/29/1962;Corsica;653
Boeing B377-10-28 Stratocruiser         ;12/25/1954;Ayrshire;654
Boeing B747-44AF                        ;09/03/2010;United Arab Emirates;655
Boeing C-135A                           ;06/25/1965;California;656
Boeing C-135B                           ;05/11/1964;Philippines;657
Boeing C-97                             ;09/26/1969;Nigeria;658
Boeing C-97A Stratofreighter            ;10/15/1951;;659
Boeing C-97C                            ;03/22/1957;;660
Boeing CH-47 Chinook                    ;08/06/2011;Afghanistan;661
Boeing CH47A (helicopter)               ;05/04/1966;South Vietnam;662
Boeing EC-135N                          ;05/06/1981;Maryland;663
Boeing KC-135                           ;03/13/1987;Washington;664
Boeing KC-135A                          ;06/27/1958;Massachusetts;665
Boeing KC-135A / Boeing KC-135A         ;08/28/1963;Florida;666
Boeing KC-135C                          ;03/19/1982;Illinois;667
Boeing KC-135E                          ;01/13/1999;Germany;668
Boeing KC-97G Stratofreighter           ;10/29/1952;Arizona;669
Boeing RB-52B                           ;11/30/1955;California;670
Boeing RC-135E                          ;06/05/1959;Alaska;671
Boeing RC-135S                          ;03/15/1981;Alaska;672
Boeing RC-135T                          ;02/25/1985;Alaska;673
Boeing TB-29A Super Fortress            ;06/30/1945;;674
Boeing Vertol CH-47 (helicopter)        ;06/13/1972;South Vietnam;675
Boeing Vertol CH-47 (helilcopter)       ;12/21/1973;South Vietnam;676
Boeing Vertol CH-47A (helicopter)       ;08/18/1971;West Germany;677
Boeing Vertol CH-47C                    ;11/28/1971;South Vietnam;678
Boeing Vertol CH-47C (helicopter)       ;09/11/1982;West Germany;679
Boeing Vertol CH47A (helicopter)        ;05/06/1969;South Vietnam;680
Boeing Vertol CH47B (helicopter)        ;08/26/1970;South Vietnam;681
Boeing Vertol CH47C (helicopter)        ;04/02/1969;South Vietnam;682
Boeing Vertol Chinook HC-2 (helicopter) ;06/02/1994;Scotland;683
Boeing Vetrol 107 II helicopter         ;10/14/1963;New York;684
Boeing XB-29                            ;02/18/1943;Washington;685
Boeing-Vertol Chinook                   ;11/06/1986;Shetlands;686
Bombardier CRJ200                       ;11/21/2004;Inner Mongolia;687
Bombardier DHC-8-402 Q400               ;02/12/2009;New York;688
Boulton and Paul P-71                   ;09/25/1936;;689
Breguet 14                              ;10/05/1920;Spain;690
Breguet 280T                            ;01/20/1934;France;691
Bristol 170 Freighter                   ;08/26/1952;West Pakistan;692
Bristol 170 Freighter 21                ;08/06/1949;Ecuador;693
Bristol 170 Freighter 21E               ;08/16/1954;Laos;694
Bristol 170 Freighter 31                ;09/17/1955;Alberta;695
Bristol 170 Freighter 31 Mark II        ;05/04/1949;Dorset;696
Bristol 170 Freighter 31E               ;06/12/1967;Ireland;697
Bristol 170 Freighter 31M               ;11/01/1961;Guernsey;698
Bristol 170 Freighter I                 ;10/16/1947;Spain;699
Bristol 170 Freighter XI                ;11/18/1947;Italy;700
Bristol 175 Britannia 312               ;12/24/1958;England;701
Bristol 28 Tourer                       ;12/05/1921;Australia;702
Bristol Britannia 102                   ;09/01/1966;Slovenia;703
Bristol Britannia 175                   ;11/06/1957;England;704
Bristol Britannia 312                   ;02/29/1964;Austria;705
Bristol Britannia 314                   ;07/22/1962;Hawaii;706
British Aerospace  BAe Jetstream 32EP   ;07/08/2000;Mexico;707
British Aerospace 146-300               ;07/23/1993;China;708
British Aerospace 3101 Jetstream 31     ;12/26/1989;Washington;709
British Aerospace 748 2A                ;03/03/1978;Venezuela;710
British Aerospace APT                   ;12/11/1999;Azores (Portugal);711
British Aerospace ATP                   ;04/19/1997;Indonesia;712
British Aerospace BAe 125-700A Hawker   ;04/19/2014;Mexico;713
British Aerospace BAe-125-700A          ;01/02/2006;;714
British Aerospace BAe-125-700B          ;01/18/1996;Nigeria;715
British Aerospace BAe-125-800A          ;07/31/2008;Minnesota;716
British Aerospace BAe-146-100           ;09/25/1998;Morroco;717
British Aerospace BAe-146-200A          ;12/07/1987;California;718
British Aerospace BAE-146-200A          ;02/20/1991;Chile;719
British Aerospace BAe-146-300           ;04/09/2009;Indonesia;720
British Aerospace Jetstream 3201        ;12/13/1994;North Carolina;721
British Aerospace Jetstream 41          ;09/24/2009;South Africa;722
British Aerospace Jetstream 4101        ;01/07/1994;Ohio;723
British Aerospace Jetstream BA-3100     ;12/01/1993;Minnesota;724
British Aerospace Nimrod MR-2           ;09/02/2006;Afghanistan;725
British Aerospace Nimrod MR-2P          ;09/02/1995;Ontario;726
Britten Norman BN Islander              ;01/02/1980;;727
Britten Norman BN-2A Trislander         ;10/22/1978;Solomon Islands;728
Britten Norman BN-2A Trislander II      ;05/05/1989;Mexico;729
Britten Norman BN-2A Trislander Mk3     ;12/15/2008;;730
Britten Norman BN-2A Trislander7        ;12/03/1993;NWT;731
Britten Norman BN-2A-20 Trislander      ;05/11/1996;Papua New Guinea;732
Britten Norman BN-2A-21 Trislander      ;04/25/1994;Indonesia;733
Britten Norman BN-2A-26                 ;01/16/1999;QLD;734
Britten Norman BN-2A-26 Trislander      ;04/10/1992;Taiwan;735
Britten Norman BN-2A-27 Islander        ;01/04/2013;Venezuela;736
Britten Norman BN-2A-3 Islander         ;12/05/2013;Brazil;737
Britten Norman BN-2B Trislander         ;12/26/2001;Germany;738
Britten Norman BN-7A lslander           ;09/18/1979;Canada;739
Britten-Norman  BN-2A-20 Trislander     ;06/09/1993;Papua New Guinea;740
Britten-Norman 2B-21 Islander           ;07/05/1990;New Guinea;741
Britten-Norman BN-2 Islander            ;10/08/1968;Costa Rica;742
Britten-Norman BN-2A Islander           ;08/30/1970;Netherlands;743
Britten-Norman BN-2A-20 Islander        ;09/06/1984;Papua;744
Britten-Norman BN-2A-21                 ;09/03/1991;Indonesia;745
Britten-Norman BN-2A-21 Islander        ;01/08/1976;Philippines;746
Britten-Norman BN-2A-21 Trislander      ;03/21/1994;Australia;747
Britten-Norman BN-2A-26 Islander        ;05/19/1996;United Kingdom;748
Britten-Norman BN-2A-26 Trislander      ;09/28/1983;Taiwan;749
Britten-Norman BN-2A-27 Islander        ;01/08/1996;Barbados;750
Britten-Norman BN-2A-3 Islander         ;10/25/1998;Uganda;751
Britten-Norman BN-2A-6 Islander         ;10/23/1972;Vanuatu;752
Britten-Norman BN-2A-8 Island           ;10/22/2009;Netherlands Antilles;753
Britten-Norman BN-2A-8 Islander         ;04/07/1983;Alaska;754
Britten-Norman BN-2A-8 Trislander       ;11/03/1977;Mexico;755
Britten-Norman BN-2A-9 Islander         ;05/03/2000;Guyana;756
Britten-Norman BN-2B-26 Islander        ;07/17/1994;Martinique;757
Britten-Norman BN-2B-27 Islander        ;12/09/1992;Mexico;758
Britten-Norman BN2 Islander             ;03/27/2017;Zimbabwe;759
Britten-Norman BN2A-III-2 Trislander    ;10/25/1991;Indonesia;760
Britten-Norman Islander                 ;04/13/2016;Papua New Guinea;761
Britten-Norman Trislander               ;12/07/1998;Canada;762
Budd RB-1 Conestoga                     ;11/07/1945;New Mexico;763
Burgess RV-6 experimental               ;11/21/1998;Maryland;764
C-46                                    ;03/13/1954;South Vietnam;765
C-47 Dakota DT-941                      ;09/07/1944;Queensland;766
C-47(DC-3)                              ;04/18/1961;Hong Kong;767
Cams 53                                 ;05/22/1929;;768
CAMS 53                                 ;08/12/1932;Lebanon;769
Cams 53-1                               ;04/23/1933;Calabria;770
CAMS 56                                 ;12/09/1931;;771
Canadair C-4 Argonaut                   ;09/22/1955;Libya;772
Canadair C-4-1Argonaut / Harvard Mark II;04/08/1954;SK;773
Canadair CL-44                          ;02/22/1975;Colombia;774
Canadair CL-44D4-1                      ;12/24/1966;Da Nang;775
Canadair CL-44D4-2                      ;09/02/1977;;776
Canadair CL-44D4-6                      ;07/18/1981;Armenia;777
Canadair CL-44J                         ;12/02/1970;Bangladesh;778
Canadair CL-600 CRJ-100ER               ;04/04/2011;Congo;779
Canadair CL-600-2B16 Challenger 604     ;10/10/2000;Kansas;780
Canadair CL-600-2B16-Challenger         ;05/05/2019;Mexico;781
Canadair CL-601-2A12 Challenger         ;11/28/2004;Colorado;782
Canadair CL-604                         ;01/04/2002;England;783
Canadair CP-107 MK-2                    ;03/23/1965;Puerto Rico;784
Canadair CRJ-100ER                      ;06/22/2003;France;785
Canadair CRJ-200                        ;01/08/2016;Norrbotten;786
Canadair CRJ-200ER                      ;08/27/2006;Kentucky;787
Canadair CRJ200LR RegionalJet           ;10/14/2004;Missouri;788
Canadair DC-4M-2 Northstar              ;12/09/1956;British Columbia;789
Cant Z-506                              ;02/13/1938;;790
Cant Z-506 (float plane)                ;09/28/1936;Libya;791
Caproni Ca.48                           ;08/02/1919;Italy;792
Caravelle VIR                           ;07/08/1964;Tennessee;793
CASA  CN-235-200                        ;08/29/2001;Spain;794
CASA 212                                ;10/03/1995;Indonesia;795
Casa 212 Aviocar                        ;11/10/1989;Lesotho;796
CASA 212 Aviocar                        ;02/22/2005;Indonesia 	 Sarmi;797
CASA 212 Aviocar 100                    ;01/23/1980; Indonesia;798
CASA 212 Aviocar 200                    ;03/04/1987;Michigan;799
CASA 212 Aviocar 300                    ;03/27/1990;Angola;800
CASA 212-100                            ;01/02/1987;Equatorial Guinea;801
CASA 212-200 Aviocar                    ;01/23/1990;Venezuela;802
CASA 212-A3 Aviocar 100                 ;01/02/1984;Jordan;803
Casa 212-AB10 Aviocar                   ;08/06/2000;Chile;804
CASA 212-CC                             ;11/27/2004;Afghanstan;805
CASA 212-DE Aviocar 200                 ;03/22/2000;Spain;806
CASA 212-MP Aviocar 200                 ;01/08/2001;Indonesia;807
CASA 212-S1 Aviocar 100                 ;02/05/1998;Spain;808
CASA 235-10                             ;10/18/1992;Jawa;809
CASA C-212 Aviocar 300DF                ;09/02/2011;Chile;810
CASA C-295M                             ;01/23/2008;Poland;811
CASA CN-235-100                         ;07/31/2015;Colombia;812
CASA CN-235M-10                         ;05/16/2001;Turkey;813
CASA NC-212                             ;06/26/2008;Indonesia;814
CASA NC-212 Aviocar 200                 ;09/29/2011;Indonesia;815
CASA NC-212-200                         ;01/26/2008;Indonesia;816
Caudron C-61                            ;07/03/1926;Czechoslovakia;817
Caudron C-630 Simoun                    ;12/04/1935;France;818
Caudron C.635 Simoun                    ;04/03/1939;Morocco;819
Cessna  208B Grand Caravan              ;04/28/2001;Argentina;820
Cessna  501 Citation                    ;08/02/1979;Ohio;821
Cessna 172H                             ;08/31/1969;Iowa;822
Cessna 177B                             ;04/11/1996;Wyoming;823
Cessna 177RG                            ;08/13/1989;Mississippi;824
Cessna 180H                             ;06/25/2003;Alaska;825
Cessna 185                              ;04/17/1964;Alaska;826
Cessna 185A                             ;01/14/1980;Alaska;827
Cessna 206                              ;12/11/2000;Beni;828
Cessna 207                              ;03/07/1976;Alaska;829
Cessna 207 / Cessna 207                 ;12/30/1989;;830
Cessna 207A                             ;05/13/1991;Airzona;831
Cessna 208 Caravan                      ;10/10/2001;Alaska;832
Cessna 208 Caravan I                    ;09/29/1985;Georgia;833
Cessna 208 Grand Caravan                ;08/31/2016;Alaksa;834
Cessna 208A Caravan I Cargomaster       ;01/17/1990;Colorado;835
Cessna 208B Caravan I                   ;01/29/1990;Vermont;836
Cessna 208B Caravan I Super Cargomaster ;01/29/1990;New York;837
Cessna 208B Grand Caravan               ;06/26/2003;Namibia;838
Cessna 310C                             ;10/16/1972;;839
Cessna 335                              ;10/16/2000;Missouri;840
Cessna 402                              ;10/16/1971;Arizona;841
Cessna 402 / Piper PA-28                ;09/08/1968;New York;842
Cessna 402B                             ;07/12/1979;Alaska;843
Cessna 402C                             ;09/07/1984;Florida;844
Cessna 402C Utililiner                  ;10/10/1989;Peru;845
Cessna 404 Titan                        ;10/15/1981;Austria;846
Cessna 404 Titan Courier II             ;06/27/1989;Taiwan;847
Cessna 404 Titan II                     ;05/05/1987;Sudan;848
Cessna 421                              ;02/16/2003;Kentucky;849
Cessna 421 Golden Eagle                 ;12/16/1978;Italy;850
Cessna 421C Golden Eagle                ;09/02/1995;Arizona;851
Cessna 441 Conquest                     ;01/11/1980;;852
Cessna 441 Conquest II                  ;09/12/1990;Greenland;853
Cessna 500 Citation I                   ;11/22/1974;Spain;854
Cessna 501 Citation                     ;09/24/1990;California;855
Cessna 550 Citation II                  ;06/04/2007;Wisconson;856
Cessna 560 Citation V                   ;02/16/2005;Colorado;857
Cessna T207A                            ;03/22/1978;California;858
CF-100 Mark 4B                          ;05/15/1956;Ontario;859
CH-47 Chinook                           ;11/02/2003;Iraq;860
CH-47D Chinook                          ;09/11/2004;Greece;861
CH-53D                                  ;05/06/1985;Japan;862
CH53E Sea Stallion                      ;01/26/2005;Iraq;863
Chance Vought F-8E                      ;08/17/1966;South Vietnam;864
Channel Air Bridge                      ;12/28/1962;The Netherlands;865
CMASA Wal                               ;01/25/1929;Greece;866
CMASA Wal (flying boat)                 ;07/18/1933;;867
Consolidated  32 Liberator II           ;02/19/1952;Cameroon;868
Consolidated  PBY-5A Catalina           ;11/26/1966;Colombia;869
Consolidated 32-2 Liberator I           ;09/01/1941;Argyll;870
Consolidated 32-2 Liberator II          ;02/21/1946;PE;871
Consolidated 32-3 Liberator II          ;02/09/1943;Newfoundland;872
Consolidated B-24                       ;08/01/1943;Romania;873
Consolidated B-24 / Consolidated B-24   ;12/29/1943;Utah;874
Consolidated B-24 Liberator             ;03/03/1942;Australia;875
Consolidated B-24H                      ;08/23/1944;England;876
Consolidated B-24J                      ;04/15/1957;Mexico;877
Consolidated B24H                       ;10/18/1944;England;878
Consolidated C-87                       ;01/18/1943; Atlantic Ocean;879
Consolidated Canso (amphibian)          ;08/21/1949;Manitoba;880
Consolidated Catalina                   ;05/12/1962;Greenland;881
Consolidated Catalina PB2Y-3R           ;07/31/1944;Gilbert Islands;882
Consolidated Fleetster                  ;01/26/1935;Pennsylvania;883
Consolidated LB-30-A Liberator          ;10/13/1945;Belgium;884
Consolidated LB-30A Liberator           ;08/10/1941;Scotland;885
Consolidated LB-40-A Liberator          ;10/05/1945;England;886
Consolidated Liberator                  ;02/15/1942;near Plymouth;887
Consolidated Liberator B24 C            ;07/04/1943;;888
Consolidated OA-10 Catalina             ;07/16/1948;;889
Consolidated PB4Y-1                     ;08/12/1944;England;890
Consolidated PBY-2 / Consolidated PBY-2 ;02/02/1938;California;891
Consolidated PBY-5 Catalina             ;01/31/1955;Colombia;892
Consolidated PBY-5A  Catalina           ;02/19/1958;French Polynesia;893
Consolidated PBY-5A Catalina            ;08/06/1947;;894
Convair 580-11A                         ;01/09/1983;Minnesota;895
Convair 600                             ;09/27/1973;Arkansas;896
Convair B-36                            ;08/05/1953;;897
Convair B-36D                           ;05/06/1951;New Mexico;898
Convair C-131D (CV-340-79)              ;12/17/1960;West Germany;899
Convair CV- 640                         ;02/09/1992;Senegal;900
Convair CV-240                          ;12/19/1953;Switzerland;901
Convair CV-240-0                        ;01/22/1952;New Jersey;902
Convair CV-240-12                       ;10/14/1953;Germany;903
Convair CV-240-2                        ;08/15/1958;Massachusetts;904
Convair CV-240-4                        ;05/25/1953;Netherlands;905
Convair CV-240-53                       ;03/31/1998;Mexico;906
Convair CV-240-7                        ;03/14/1953;India;907
Convair CV-300                          ;10/20/1977;Mississippi;908
Convair CV-340                          ;01/19/1955;Iowa;909
Convair CV-340-32                       ;07/17/1955;Illinois;910
Convair CV-340-58                       ;10/10/1955;Austria;911
Convair CV-340-59                       ;05/03/1963;Brazil;912
Convair CV-340-62                       ;06/24/1960;Brazil;913
Convair CV-340-68B                      ;07/08/1968;Saudi Arabia;914
Convair CV-340/440                      ;10/19/1962;Connecticut;915
Convair CV-440                          ;11/20/1964;Sweden;916
Convair CV-440 -62                      ;10/12/1962;Spain;917
Convair CV-440-0                        ;01/28/1966;Germany;918
Convair CV-440-11                       ;07/15/1956;Ireland;919
Convair CV-440-12                       ;10/27/1975;Bolivia;920
Convair CV-440-59                       ;06/16/1958;Brazil;921
Convair CV-440-62                       ;09/18/1957; Uruguay;922
Convair CV-440-80                       ;08/21/1992;Bolivia;923
Convair CV-580                          ;03/05/1967;Ohio;924
Convair CV-580 / Cessna 150             ;08/04/1968;Wisconsin;925
Convair CV-580/De Hav. Twin Otter 100   ;06/29/1972;Wisconsin;926
Convair CV-580F                         ;10/03/2003;New Zealand;927
Convair CV-640                          ;09/17/1969;Canada;928
Convair CV-880                          ;05/23/1960;Georgia;929
Convair CV-880 / McDonnell DC-9-31      ;12/20/1972;Illinois;930
Convair CV-880-22-1                     ;11/20/1967;Covington/Hebron;931
Convair CV-880-22M-21                   ;06/15/1972;South Vietnam;932
Convair CV-880-22M-3                    ;11/05/1967;China;933
Convair CV-990-30A-5                    ;05/28/1968;India;934
Convair CV-990-30A-5 Coronado           ;12/03/1972; Canary Islands;935
Convair CV-990-30A-6                    ;02/21/1970;Switzerland;936
Convair RB-36H                          ;03/18/1953;Newfoundland;937
ConvairCV-440                           ;02/05/1996;Arizona;938
Curtis C-46                             ;01/05/1947;China;939
Curtis C-46A                            ;12/30/1964;Michigan;940
Curtis C-46A-20-CU                      ;12/07/1963;Colorado;941
Curtiss AT-32C Condor                   ;07/27/1934;Germany;942
Curtiss C 46F-CU                        ;12/30/1951;Alaska;943
Curtiss C-46                            ;07/13/1946;China;944
Curtiss C-46 Commando                   ;09/02/1963;;945
Curtiss C-46-CU                         ;06/20/1964;Taiwan;946
Curtiss C-46-F-1-CU                     ;06/05/1950;;947
Curtiss C-46A                           ;02/23/1945;Morocco;948
Curtiss C-46A-40-CU                     ;04/05/1960;Nicaragua;949
Curtiss C-46A-45-CU                     ;09/09/1956;Jordan;950
Curtiss C-46A-50-CU                     ;12/29/1951;New York;951
Curtiss C-46A-55                        ;01/18/1988;Bolivia;952
Curtiss C-46A-55-CK                     ;05/11/1971;Guatemala;953
Curtiss C-46A-60-CK                     ;12/07/1960;Brazil;954
Curtiss C-46A-60-CS                     ;07/09/2000;Colombia;955
Curtiss C-46A-CU                        ;09/05/1958;Brazil;956
Curtiss C-46C                           ;07/15/1968;Brazil;957
Curtiss C-46D                           ;09/28/1945;China;958
Curtiss C-46D-10-CU                     ;07/17/1946;Ecuador;959
Curtiss C-46D-15--CU                    ;03/04/1957;Japan;960
Curtiss C-46D-15-CU                     ;09/29/1951;Bolivia;961
Curtiss C-46D-20-CU                     ;07/29/1948;China;962
Curtiss C-46D-5-CU                      ;06/07/1949;Puerto Rico;963
Curtiss C-46D-CU                        ;12/09/1949;China;964
Curtiss C-46E                           ;02/14/1947;Colorado;965
Curtiss C-46E-1-CS                      ;07/12/1949;California;966
Curtiss C-46F                           ;03/04/1953;Connecticut;967
Curtiss C-46F-1-CU                      ;07/19/1949;Washington;968
Curtiss C-46F-1CU                       ;04/18/1952;California;969
